feature,importance,coefficient,type
feature_1229,0.03264661655516108,0.03264661655516108,abs_coefficient
feature_0221,0.03239376499538229,0.03239376499538229,abs_coefficient
feature_1067,0.030421260314500844,-0.030421260314500844,abs_coefficient
feature_5773,0.029194046233546194,0.029194046233546194,abs_coefficient
feature_5501,0.02861907949100978,-0.02861907949100978,abs_coefficient
feature_1784,0.027490417577146455,-0.027490417577146455,abs_coefficient
feature_0789,0.027417036002311303,0.027417036002311303,abs_coefficient
feature_5358,0.02733205356536018,0.02733205356536018,abs_coefficient
feature_3865,0.02457006139441618,-0.02457006139441618,abs_coefficient
feature_1648,0.024321384233489042,0.024321384233489042,abs_coefficient
feature_2868,0.02409557969422201,-0.02409557969422201,abs_coefficient
feature_0958,0.02396636948404702,-0.02396636948404702,abs_coefficient
feature_4250,0.02207416026485554,-0.02207416026485554,abs_coefficient
feature_0726,0.02182573798664761,0.02182573798664761,abs_coefficient
feature_1017,0.02160083717526196,-0.02160083717526196,abs_coefficient
feature_4964,0.02094803020526646,-0.02094803020526646,abs_coefficient
feature_6198,0.019741064835079904,0.019741064835079904,abs_coefficient
feature_3419,0.019530748777057624,0.019530748777057624,abs_coefficient
feature_5979,0.019070832265563893,-0.019070832265563893,abs_coefficient
feature_1732,0.01906432545213875,0.01906432545213875,abs_coefficient
feature_3669,0.01845905961119444,-0.01845905961119444,abs_coefficient
feature_1024,0.01822119626026841,0.01822119626026841,abs_coefficient
feature_0926,0.016920951226878585,0.016920951226878585,abs_coefficient
feature_6353,0.016346193923661323,0.016346193923661323,abs_coefficient
feature_5880,0.014219630114257243,0.014219630114257243,abs_coefficient
feature_4767,0.01419796042619856,0.01419796042619856,abs_coefficient
feature_4394,0.013598900987403134,0.013598900987403134,abs_coefficient
feature_2725,0.012504824599777137,0.012504824599777137,abs_coefficient
feature_3916,0.011838753514437557,0.011838753514437557,abs_coefficient
feature_6235,0.01175437227746125,-0.01175437227746125,abs_coefficient
feature_2864,0.011575754198826942,0.011575754198826942,abs_coefficient
feature_2245,0.011425775204079851,0.011425775204079851,abs_coefficient
feature_4390,0.010889573298862682,-0.010889573298862682,abs_coefficient
feature_0829,0.010760033124870646,-0.010760033124870646,abs_coefficient
feature_2034,0.010469013541200731,0.010469013541200731,abs_coefficient
feature_0244,0.008900694150164739,0.008900694150164739,abs_coefficient
feature_4184,0.008466535361158344,0.008466535361158344,abs_coefficient
feature_1435,0.008372793792284056,0.008372793792284056,abs_coefficient
feature_4826,0.007338788594841977,0.007338788594841977,abs_coefficient
feature_5453,0.006941464239738241,0.006941464239738241,abs_coefficient
feature_4607,0.005949052103068541,-0.005949052103068541,abs_coefficient
feature_6319,0.005604262837840441,0.005604262837840441,abs_coefficient
feature_4215,0.005238594602006604,-0.005238594602006604,abs_coefficient
feature_4229,0.0035659697324785097,-0.0035659697324785097,abs_coefficient
feature_3716,0.003423639295245896,-0.003423639295245896,abs_coefficient
feature_1505,0.0032304101427363618,-0.0032304101427363618,abs_coefficient
feature_2447,0.0016888834593176475,-0.0016888834593176475,abs_coefficient
feature_2888,0.0013360510759680413,0.0013360510759680413,abs_coefficient
feature_3313,0.0008312395574341298,-0.0008312395574341298,abs_coefficient
feature_4533,0.0005402781122222925,-0.0005402781122222925,abs_coefficient
feature_4391,0.0,0.0,abs_coefficient
feature_4388,0.0,0.0,abs_coefficient
feature_4399,0.0,0.0,abs_coefficient
feature_4415,0.0,0.0,abs_coefficient
feature_4416,0.0,0.0,abs_coefficient
feature_4417,0.0,0.0,abs_coefficient
feature_4418,0.0,0.0,abs_coefficient
feature_4380,0.0,0.0,abs_coefficient
feature_4398,0.0,0.0,abs_coefficient
feature_4419,0.0,0.0,abs_coefficient
feature_4397,0.0,0.0,abs_coefficient
feature_4420,0.0,0.0,abs_coefficient
feature_4395,0.0,0.0,abs_coefficient
feature_4382,0.0,0.0,abs_coefficient
feature_4421,0.0,0.0,abs_coefficient
feature_4422,0.0,0.0,abs_coefficient
feature_4374,0.0,0.0,abs_coefficient
feature_4379,0.0,0.0,abs_coefficient
feature_4393,0.0,0.0,abs_coefficient
feature_4392,0.0,0.0,abs_coefficient
feature_4389,0.0,0.0,abs_coefficient
feature_4423,0.0,0.0,abs_coefficient
feature_4396,0.0,0.0,abs_coefficient
feature_4407,0.0,0.0,abs_coefficient
feature_4386,0.0,0.0,abs_coefficient
